                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.5311,                 1.4919,                 1.9765,                0.74055,                0.58265,                0.68565,                0.44258,                 1.3303,                 1.2538,                 1.8538,              0.0003004,              0.0003004,              0.0003004
                    109,                 1.4736,                 1.5207,                 1.9835,                0.71991,                 0.5702,                0.68946,                0.44224,                 1.3429,                 1.2741,                 1.8588,              0.0002938,              0.0002938,              0.0002938
                    110,                 1.4654,                  1.512,                 1.9383,                0.78874,                0.57652,                  0.688,                0.45357,                 1.3045,                 1.3021,                  1.818,              0.0002872,              0.0002872,              0.0002872
                    111,                 1.5266,                 1.5091,                  1.914,                0.71917,                0.61464,                0.68978,                 0.4525,                 1.3307,                 1.2911,                 1.8147,              0.0002806,              0.0002806,              0.0002806
                    112,                 1.4946,                 1.5162,                 1.9292,                0.74692,                 0.6502,                0.71037,                0.47039,                  1.248,                 1.2285,                  1.769,               0.000274,               0.000274,               0.000274
                    113,                 1.4433,                  1.477,                   1.92,                 0.7155,                0.64396,                0.70915,                0.45538,                 1.2466,                 1.2099,                 1.7745,              0.0002674,              0.0002674,              0.0002674
                    114,                 1.5153,                 1.3795,                  1.922,                0.71981,                0.64752,                0.70757,                 0.4642,                 1.2157,                 1.1842,                 1.7371,              0.0002608,              0.0002608,              0.0002608
                    115,                 1.4245,                 1.4431,                 1.8991,                0.74135,                0.63632,                0.70882,                0.45313,                 1.2753,                 1.1927,                 1.7544,              0.0002542,              0.0002542,              0.0002542
                    116,                 1.4247,                 1.3737,                 1.8828,                 0.6763,                0.68254,                0.70104,                0.45625,                 1.2576,                 1.2246,                 1.7543,              0.0002476,              0.0002476,              0.0002476
                    117,                 1.4869,                 1.4515,                 1.9146,                0.70292,                0.67585,                0.70075,                0.46444,                 1.2451,                 1.2056,                 1.7448,               0.000241,               0.000241,               0.000241
                    118,                   1.36,                 1.3773,                 1.8357,                0.69698,                0.68442,                0.70821,                0.47371,                 1.2485,                 1.1844,                 1.7284,              0.0002344,              0.0002344,              0.0002344
                    119,                 1.4507,                 1.4125,                 1.8953,                0.71524,                0.65934,                0.72004,                0.48567,                 1.2201,                 1.1733,                 1.7083,              0.0002278,              0.0002278,              0.0002278
                    120,                 1.4273,                 1.4159,                 1.8845,                0.69859,                0.68807,                0.72033,                0.47418,                 1.2233,                 1.1929,                 1.7301,              0.0002212,              0.0002212,              0.0002212
                    121,                  1.464,                 1.4498,                 1.8831,                0.65622,                0.70011,                0.70875,                0.46735,                 1.2374,                 1.2076,                 1.7472,              0.0002146,              0.0002146,              0.0002146
                    122,                 1.4381,                 1.3931,                 1.8424,                0.69795,                0.67903,                0.70532,                0.46712,                 1.2367,                 1.2102,                 1.7415,               0.000208,               0.000208,               0.000208
                    123,                 1.4202,                 1.3509,                 1.8467,                 0.6683,                0.68084,                0.70381,                0.45974,                 1.2423,                 1.2329,                 1.7328,              0.0002014,              0.0002014,              0.0002014
                    124,                 1.4177,                  1.454,                 1.8718,                0.66693,                0.68719,                0.70146,                0.46535,                 1.2069,                 1.2122,                 1.7138,              0.0001948,              0.0001948,              0.0001948
                    125,                 1.4475,                 1.3408,                 1.8394,                0.65444,                0.71264,                0.72344,                0.47663,                 1.2189,                 1.1838,                 1.7188,              0.0001882,              0.0001882,              0.0001882
                    126,                 1.4425,                 1.3907,                  1.905,                0.79011,                0.63358,                0.73185,                0.47933,                 1.2184,                  1.155,                 1.7258,              0.0001816,              0.0001816,              0.0001816
                    127,                 1.4202,                 1.3901,                 1.8437,                0.73032,                0.65852,                0.73807,                0.48824,                 1.1984,                 1.1364,                 1.7148,               0.000175,               0.000175,               0.000175
                    128,                 1.3516,                 1.3143,                 1.8225,                0.77901,                0.64946,                0.74015,                0.49215,                 1.1978,                 1.1178,                 1.7028,              0.0001684,              0.0001684,              0.0001684
                    129,                 1.4098,                 1.3003,                 1.8561,                0.76108,                0.66951,                 0.7353,                0.49693,                 1.1999,                 1.1137,                 1.6976,              0.0001618,              0.0001618,              0.0001618
                    130,                 1.5114,                 1.5145,                 1.9165,                0.75911,                0.70596,                0.73789,                0.50249,                 1.1762,                 1.1003,                  1.686,              0.0001552,              0.0001552,              0.0001552
                    131,                 1.3757,                 1.2612,                 1.7836,                0.74513,                 0.7073,                0.74206,                0.50568,                 1.1454,                 1.0949,                 1.6705,              0.0001486,              0.0001486,              0.0001486
                    132,                 1.4089,                 1.4039,                 1.8773,                0.73069,                0.71209,                0.74574,                0.50897,                 1.1528,                 1.1046,                 1.6618,               0.000142,               0.000142,               0.000142
                    133,                 1.3257,                 1.2719,                 1.7865,                0.72919,                0.70909,                0.74561,                0.50935,                 1.1647,                  1.105,                  1.662,              0.0001354,              0.0001354,              0.0001354
                    134,                 1.3943,                 1.3215,                  1.781,                 0.7479,                0.69145,                0.75167,                0.51558,                 1.1461,                 1.0871,                 1.6547,              0.0001288,              0.0001288,              0.0001288
                    135,                 1.3708,                 1.3662,                 1.8315,                 0.7907,                0.68176,                 0.7614,                0.51925,                 1.1306,                 1.0728,                 1.6498,              0.0001222,              0.0001222,              0.0001222
                    136,                 1.3861,                 1.3443,                 1.8585,                0.81612,                0.67428,                0.75701,                0.51662,                 1.1318,                 1.0753,                 1.6463,              0.0001156,              0.0001156,              0.0001156
                    137,                 1.3632,                  1.244,                  1.813,                0.77407,                0.71586,                0.75395,                0.51605,                 1.1353,                 1.0822,                 1.6382,               0.000109,               0.000109,               0.000109
                    138,                 1.3637,                 1.2544,                  1.806,                0.74814,                0.72217,                0.75069,                0.51715,                 1.1444,                 1.0895,                 1.6395,              0.0001024,              0.0001024,              0.0001024
                    139,                 1.3355,                 1.3086,                 1.7845,                0.72974,                0.69888,                 0.7482,                0.51734,                  1.144,                 1.0901,                  1.644,               9.58e-05,               9.58e-05,               9.58e-05
