                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.1114,                0.74036,                 1.2476,                0.77994,                0.83532,                0.86816,                0.59136,                 0.9631,                0.59128,                 1.1688,             0.00072604,             0.00072604,             0.00072604
                    108,                  1.123,                0.76976,                 1.2289,                0.74863,                0.87575,                0.85806,                0.59206,                0.94953,                0.58873,                 1.1599,             0.00072237,             0.00072237,             0.00072237
                    109,                 1.0928,                0.74111,                 1.2321,                0.77504,                0.80658,                0.85616,                0.57454,                0.97001,                0.60416,                 1.1711,             0.00071871,             0.00071871,             0.00071871
                    110,                 1.1092,                0.76424,                 1.2196,                0.73199,                0.87237,                0.84113,                0.57399,                0.95688,                0.58353,                 1.1585,             0.00071504,             0.00071504,             0.00071504
                    111,                 1.1245,                0.76403,                 1.2354,                0.73326,                0.85496,                0.83619,                0.56596,                0.99601,                0.60117,                  1.186,             0.00071137,             0.00071137,             0.00071137
                    112,                 1.1063,                 0.7367,                  1.222,                0.78877,                0.83852,                0.86203,                 0.5904,                0.98677,                0.59319,                 1.1745,             0.00070771,             0.00070771,             0.00070771
                    113,                 1.1001,                0.74113,                 1.2265,                0.75784,                 0.7993,                0.83061,                0.55264,                 1.0063,                0.59987,                 1.1962,             0.00070404,             0.00070404,             0.00070404
                    114,                 1.1169,                0.74968,                  1.221,                 0.8172,                0.83514,                0.87353,                0.59299,                0.97978,                0.55735,                  1.172,             0.00070037,             0.00070037,             0.00070037
                    115,                 1.0894,                0.70375,                  1.191,                0.79056,                0.81409,                0.83986,                0.56936,                0.95127,                0.58334,                 1.1516,             0.00069671,             0.00069671,             0.00069671
                    116,                 1.0778,                 0.6929,                 1.1949,                0.80138,                0.85063,                 0.8682,                0.59551,                0.96529,                0.56988,                 1.1577,             0.00069304,             0.00069304,             0.00069304
                    117,                 1.0886,                0.75542,                 1.2187,                0.82153,                0.78125,                0.84698,                0.58806,                 0.9382,                0.58297,                 1.1479,             0.00068938,             0.00068938,             0.00068938
                    118,                 1.0893,                0.70784,                 1.2244,                0.77925,                0.79959,                0.82711,                0.56995,                0.95504,                0.61658,                 1.1645,             0.00068571,             0.00068571,             0.00068571
                    119,                 1.0672,                0.72195,                 1.2156,                0.72193,                0.82251,                0.84727,                0.58011,                 0.9841,                0.66478,                 1.1794,             0.00068204,             0.00068204,             0.00068204
                    120,                 1.0953,                0.75516,                 1.2039,                0.72776,                0.86886,                0.83437,                0.58836,                0.92774,                0.58687,                 1.1461,             0.00067838,             0.00067838,             0.00067838
                    121,                 1.0685,                0.70588,                 1.2166,                0.76275,                0.83009,                0.82427,                0.55595,                0.97288,                0.58411,                 1.1661,             0.00067471,             0.00067471,             0.00067471
                    122,                 1.0694,                0.72005,                 1.2072,                0.77514,                0.84358,                0.86761,                0.59098,                0.96384,                0.57718,                 1.1733,             0.00067104,             0.00067104,             0.00067104
                    123,                 1.0837,                0.73468,                  1.188,                 0.7927,                0.84819,                0.86444,                0.58752,                0.93749,                0.56069,                 1.1556,             0.00066738,             0.00066738,             0.00066738
                    124,                 1.0715,                0.73155,                 1.2007,                0.75335,                0.86696,                0.86427,                0.59069,                0.95457,                0.58195,                 1.1549,             0.00066371,             0.00066371,             0.00066371
                    125,                 1.0547,                0.67313,                 1.2027,                 0.8122,                0.85328,                0.88826,                0.61634,                0.94923,                0.54675,                 1.1521,             0.00066005,             0.00066005,             0.00066005
                    126,                 1.0676,                0.70701,                 1.2095,                0.78497,                0.81519,                0.84169,                0.59034,                0.93435,                0.55421,                 1.1482,             0.00065638,             0.00065638,             0.00065638
                    127,                 1.0705,                0.70378,                 1.2043,                0.80996,                 0.7968,                0.86177,                0.60112,                0.93686,                0.59108,                 1.1516,             0.00065271,             0.00065271,             0.00065271
                    128,                 1.0715,                0.69708,                 1.2068,                0.75097,                0.84732,                 0.8558,                0.59744,                0.93557,                 0.5632,                 1.1466,             0.00064905,             0.00064905,             0.00064905
